IATA_Code,ICAO_Code,Airline_Name,Source
0A,GNT,,LEGACY
0B,JOR,,LEGACY
0D,DWT,,LEGACY
0P,PYB,,LEGACY
0X,CX0,,LEGACY
1A,AGT,,LEGACY
1E,RGG,,LEGACY
1I,NVR,,LEGACY
1T,RNX,,LEGACY
2A,AWA,"Air Astra",IATA
2B,ARD,,LEGACY
2D,AOG,,LEGACY
2F,FTA,,LEGACY
2J,VBW,,LEGACY
2K,GLG,"Avianca Ecuador",IATA
2L,OAW,,LEGACY
2M,MDV,,LEGACY
2N,NTJ,,LEGACY
2P,GAP,"PAL Express",IATA
2Q,SNC,,LEGACY
2S,STW,"Southwind Airlines",IATA
2T,HAM,,LEGACY
2U,GIP,,LEGACY
2W,WFL,"World2Fly",IATA
3E,EAF,"Electra Airways",IATA
3G,AYZ,,LEGACY
3K,JSA,,LEGACY
3L,HFM,"Hi Fly (Malta)",IATA
3N,URG,,LEGACY
3P,TNM,,LEGACY
3Q,CYH,,LEGACY
3R,GAI,,LEGACY
3T,URN,,LEGACY
3U,CSC,"Sichuan Airlines",IATA
3V,TAY,"ASL Airlines Belgium",IATA
4A,AKL,,LEGACY
4B,BTQ,,LEGACY
4C,ARE,"LATAM Airlines Colombia",IATA
4D,ASD,,LEGACY
4F,ECE,,LEGACY
4G,GZP,,LEGACY
4H,UBD,,LEGACY
4K,AAS,,LEGACY
4L,MJX,,LEGACY
4M,MGH,"Mavi Gök Airlines (MGA)",IATA
4N,ANT,,LEGACY
4O,MNE,"Air Montenegro",IATA
4R,HHI,,LEGACY
4S,RSX,"Red Sea Airlines",IATA
4T,BHP,,LEGACY
4U,GWI,,LEGACY
4X,MLH,"Avion Express Malta",IATA
4Y,OCN,"Discover Airlines",IATA
4Z,LNK,"Airlink",IATA
5A,AIP,,LEGACY
5B,BSX,,LEGACY
5C,ICL,"Challenge Airlines (IL)",IATA
5D,SLI,,LEGACY
5F,FIA,"FLYONE",IATA
5G,SSV,,LEGACY
5H,ABR,"ASL Airlines Ireland",IATA
5J,CEB,"Cebu Pacific",IATA
5K,HFY,"Hi Fly",IATA
5L,RSU,,LEGACY
5M,SIB,,LEGACY
5N,AUL,"Smartavia",IATA
5O,FPO,"ASL Airlines France",IATA
5T,MPE,,LEGACY
5U,TGU,"TAG Airlines",IATA
5W,AEU,,LEGACY
5X,UPS,"UPS Airlines",IATA
5Y,GTI,"Atlas Air",IATA
5Z,KEM,"CemAir",IATA
6A,CHP,,LEGACY
6B,BLX,,LEGACY
6E,IGO,"IndiGo",IATA
6F,MKD,,LEGACY
6G,AWW,,LEGACY
6H,ISR,"Israir",IATA
6J,SNJ,,LEGACY
6K,RIT,,LEGACY
6O,OBS,"Iberojet",IATA
6R,DRU,,LEGACY
6V,AXY,,LEGACY
6W,SOV,,LEGACY
7B,KJC,,LEGACY
7C,JJA,"Jeju Air",IATA
7E,AWU,,LEGACY
7F,FAB,,LEGACY
7G,SFJ,,LEGACY
7H,RVF,"New Pacific Airlines",IATA
7K,KGL,,LEGACY
7L,AZG,"Silk Way West Airlines",IATA
7P,BTV,,LEGACY
7R,RLU,"RusLine",IATA
7T,AGV,,LEGACY
8A,BMM,,LEGACY
8B,BCC,,LEGACY
8C,HZT,,LEGACY
8E,BRG,,LEGACY
8F,STP,,LEGACY
8H,HFR,,LEGACY
8J,JFU,,LEGACY
8L,LKE,"Lucky Air",IATA
8M,MMA,"Myanmar Airways International",IATA
8N,NKF,,LEGACY
8P,PCO,,LEGACY
8Q,OHY,,LEGACY
8R,AIA,"Amelia",IATA
8U,AAW,,LEGACY
8V,ACP,,LEGACY
8Z,WVL,,LEGACY
9E,FLG,,LEGACY
9H,CGN,"Air Changan",IATA
9I,INE,,LEGACY
9K,KAP,,LEGACY
9L,CJC,,LEGACY
9Q,PBA,,LEGACY
9R,NSE,,LEGACY
9S,CQH,,LEGACY
9T,ABS,,LEGACY
9U,MLD,,LEGACY
9W,JAI,,LEGACY
9Y,KZK,,LEGACY
A3,AEE,"Aegean Airlines",IATA
A4,SWD,,LEGACY
A5,RLA,,LEGACY
A7,MPD,,LEGACY
A9,TGZ,"Georgian Airways",IATA
AA,AAL,"American Airlines",IATA
AB,BER,,LEGACY
AC,ACA,"Air Canada",IATA
AD,AZU,"Azul Brazilian Airlines",IATA
AE,MDA,"Mandarin Airlines",IATA
AF,AFR,"Air France",IATA
AG,ABR,,LEGACY
AH,DAH,"Air Algérie",IATA
AI,AIC,"Air India",IATA
AJ,NIG,,LEGACY
AK,AXM,,LEGACY
AL,SYX,,LEGACY
AM,AMX,"Aeromexico",IATA
AN,AAA,,LEGACY
AO,AUZ,,LEGACY
AP,LAV,"Albastar",IATA
AQ,AAH,,LEGACY
AR,ARG,"Aerolineas Argentinas",IATA
AS,ASA,"Alaska Airlines",IATA
AT,RAM,"Royal Air Maroc",IATA
AU,AUT,,LEGACY
AV,AVA,"Avianca",IATA
AW,AFW,"Africa World Airlines",IATA
AX,LOF,,LEGACY
AY,FIN,"Finnair",IATA
AZ,ITY,"ITA Airways",IATA
B0,DJT,"La Compagnie",IATA
B2,BRU,"Belavia Belarusian Airlines",IATA
B3,BLV,,LEGACY
B4,GSM,,LEGACY
B5,BBT,"BBN Airlines",IATA
B6,JBU,"JetBlue",IATA
B7,UIA,"UNI AIR",IATA
B8,ERT,,LEGACY
B9,IRB,"Iran Airtour Airline",IATA
BA,BAW,"British Airways",IATA
BB,SBS,,LEGACY
BC,SKY,,LEGACY
BD,BMA,,LEGACY
BE,BEE,,LEGACY
BF,FBU,"French Bee",IATA
BG,BBC,"Biman Bangladesh Airlines",IATA
BI,RBA,"Royal Brunei",IATA
BJ,LBT,"Nouvelair",IATA
BK,OKA,"Okay Airways",IATA
BL,PIC,,LEGACY
BN,HZA,,LEGACY
BP,BOT,"Air Botswana",IATA
BQ,BQB,,LEGACY
BR,EVA,"EVA Air",IATA
BS,UBG,"US-Bangla Airlines",IATA
BT,BTI,"Air Baltic",IATA
BU,BUU,,LEGACY
BV,BPA,,LEGACY
BW,BWA,"Caribbean Airlines",IATA
BX,ABL,,LEGACY
BY,TOM,,LEGACY
BZ,BBG,"Blue Bird Airways",IATA
C0,CLW,,LEGACY
C2,CAP,,LEGACY
C3,QAX,,LEGACY
C4,LIX,,LEGACY
C5,UCA,,LEGACY
C7,CR7,,LEGACY
C9,RUS,,LEGACY
CA,CCA,"Air China",IATA
CC,ABD,"Air Atlanta Icelandic",IATA
CE,CLG,"Chalair",IATA
CF,CYZ,"China Postal Airlines",IATA
CG,TOK,,LEGACY
CH,BMJ,,LEGACY
CI,CAL,"China Airlines",IATA
CJ,CFE,,LEGACY
CK,CKK,"China Cargo Airlines",IATA
CL,CLH,"Lufthansa CityLine",IATA
CM,CMP,"COPA Airlines",IATA
CN,YCP,,LEGACY
CO,COA,,LEGACY
CP,CPZ,,LEGACY
CQ,KOL,,LEGACY
CS,CSW,"Chair Airlines",IATA
CU,CUB,"Cubana",IATA
CV,CLX,"Cargolux",IATA
CW,CWM,,LEGACY
CX,CPA,"Cathay Pacific",IATA
CY,CYP,"Cyprus Airways",IATA
CZ,CSN,"China Southern Airlines",IATA
D0,DHK,"DHL Air",IATA
D1,MDO,,LEGACY
D3,DAO,,LEGACY
D4,GEL,"Airline GEO SKY",IATA
D6,ILN,,LEGACY
D7,XAX,,LEGACY
D8,DJB,,LEGACY
D9,DNV,,LEGACY
DA,DAC,,LEGACY
DB,BZH,,LEGACY
DC,GAO,,LEGACY
DD,NOK,"Nok Air",IATA
DE,CFG,"Condor",IATA
DF,MJG,,LEGACY
DG,SRQ,,LEGACY
DH,DSY,,LEGACY
DI,BAG,,LEGACY
DK,ELA,,LEGACY
DL,DAL,"Delta Air Lines",IATA
DM,DWI,"Arajet",IATA
DN,DNA,"DAN AIR",IATA
DO,DOA,,LEGACY
DP,FCA,,LEGACY
DR,RLH,"Ruili Airlines",IATA
DT,DTA,"TAAG Angola Airlines",IATA
DU,NLH,,LEGACY
DV,VSV,"SCAT Airlines",IATA
DX,DTR,,LEGACY
DY,NAX,,LEGACY
E3,DMO,,LEGACY
E4,RSO,,LEGACY
E5,RBG,,LEGACY
E7,ESF,"Estafeta Cargo",IATA
E8,ELG,,LEGACY
E9,EVE,"Iberojet Airlines",IATA
EA,EAL,,LEGACY
EB,PLM,"Wamos Air",IATA
EC,TWN,,LEGACY
ED,ABQ,,LEGACY
EE,EAY,,LEGACY
EF,EFA,,LEGACY
EG,JAA,,LEGACY
EH,AKX,,LEGACY
EI,EIN,"Aer Lingus",IATA
EJ,NEA,,LEGACY
EK,UAE,"Emirates",IATA
EL,ANK,,LEGACY
EM,AEB,,LEGACY
EN,DLA,"Air Dolomiti",IATA
EO,KAR,"Ikar",IATA
EP,IRC,"Iran Aseman Airlines",IATA
EQ,TAE,,LEGACY
ER,DHL,,LEGACY
ES,DHX,"DHL Air (Bahrain)",IATA
ET,ETH,"Ethiopian Airlines",IATA
EU,UEA,"Chengdu Airlines",IATA
EV,ASQ,,LEGACY
EW,EWG,"Eurowings",IATA
EX,EU9,,LEGACY
EY,ETD,"Etihad Airways",IATA
EZ,EIA,,LEGACY
F3,FAD,"flyadeal",IATA
F6,VAW,"Fly2Sky",IATA
F7,BBO,,LEGACY
F9,FFT,"Frontier Airlines",IATA
FA,SFR,"Safair",IATA
FB,LZB,"Bulgaria Air",IATA
FC,WBA,,LEGACY
FD,AIQ,,LEGACY
FF,FRF,,LEGACY
FG,AFG,,LEGACY
FH,FHY,"Freebird Airlines",IATA
FI,ICE,"Icelandair",IATA
FJ,FJI,"Fiji Airways",IATA
FK,WTA,,LEGACY
FL,TRS,,LEGACY
FM,CSH,"Shanghai Airlines",IATA
FN,FJW,"Fastjet Zimbabwe",IATA
FO,ATM,,LEGACY
FP,FRE,,LEGACY
FQ,TCW,,LEGACY
FR,RYR,,LEGACY
FS,STU,,LEGACY
FT,SRH,,LEGACY
FU,FZA,"Fuzhou Airlines",IATA
FV,SDM,"Rossiya Airlines",IATA
FW,IBX,,LEGACY
FX,FDX,"FedEx Express",IATA
FY,FFM,,LEGACY
FZ,FDB,"flydubai",IATA
G0,GHB,,LEGACY
G2,VXG,,LEGACY
G3,GLO,"GOL Linhas Aereas",IATA
G4,AAY,,LEGACY
G5,HXA,"China Express Airlines",IATA
G6,GXA,"GlobalX",IATA
G7,GJS,,LEGACY
G8,AGB,,LEGACY
G9,ABY,"Air Arabia",IATA
GA,GIA,"Garuda Indonesia",IATA
GB,ABX,"ABX Air",IATA
GD,AHA,,LEGACY
GE,GBB,"Global Airways and Lift",IATA
GF,GFA,"Gulf Air",IATA
GG,HAH,,LEGACY
GH,GLP,,LEGACY
GI,IKA,,LEGACY
GJ,CDC,"Loong Air",IATA
GL,GRL,"Air Greenland",IATA
GM,GER,,LEGACY
GN,AGN,,LEGACY
GO,KZU,"ULS Airlines Cargo",IATA
GP,RIV,"APG Airlines",IATA
GQ,SEH,"Sky express",IATA
GR,AUR,,LEGACY
